density,avg_baseline_cost,avg_ils_cost,avg_improvement_pct,num_instances
0.2,3937177719969.6157,4986053021309.831,-0.00299331832309605,48
0.5,337856450624.55707,290425390448.3778,-0.0059332306720763514,48
1.0,243395653038.2799,242842421298.89908,-0.012099086156657104,48
