n_cities,alpha,beta,avg_baseline_cost,avg_ils_cost,avg_improvement_pct,num_instances
10,0.0,0.5,4.783776174334304,5.04362744203902,-0.07761524055530013,3
10,0.0,1,4.783776174334304,5.04362744203902,-0.07761524055530013,3
10,0.0,2,4.783776174334304,5.04362744203902,-0.07761524055530013,3
10,0.0,4,4.783776174334304,5.04362744203902,-0.07761524055530013,3
10,1.0,0.5,145.32739342942037,145.90391017743968,-0.0030925792364333462,3
10,1.0,1,2953.164579444991,2953.963996114857,-0.00016353009076679412,3
10,1.0,2,1140710.3627219321,1059214.2091869263,0.03233139398695579,3
10,1.0,4,228118975226.68002,208960240089.04907,0.029214033032904884,3
10,2.0,0.5,202.4041856333437,203.53261179896504,-0.00676896686993908,3
10,2.0,1,5898.660935336258,5899.609445529099,-0.00012916230742249978,3
10,2.0,2,4759937.773491653,4613688.183997876,0.02965296687612975,3
10,2.0,4,3865036021664.5903,4139488937178.6714,0.0022463549140488565,3
10,4.0,0.5,283.12295926488304,283.1229592648831,-5.24668594919962e-17,3
10,4.0,1,11791.166175785658,11789.946703719354,6.243578227039826e-05,3
10,4.0,2,17051851.02876554,17269229.392835885,-0.02258765035572097,3
10,4.0,4,49660367099456.375,65407064988156.71,-0.01372647031945349,3
50,0.0,0.5,21.861335117438284,22.394195573512466,-0.03893628438882878,3
50,0.0,1,21.861335117438284,22.394195573512466,-0.03893628438882878,3
50,0.0,2,21.861335117438284,22.394195573512466,-0.03893628438882878,3
50,0.0,4,21.861335117438284,22.394195573512466,-0.03893628438882878,3
50,1.0,0.5,693.6156188892114,696.0611147477942,-0.0029308844855661692,3
50,1.0,1,10322.216810227284,10322.318208305753,-4.881061898354273e-06,3
50,1.0,2,2331661.8764296486,2342290.5938640432,0.0007970774442020411,3
50,1.0,4,58170726011.15363,62410286054.69451,-0.011384162707165746,3
50,2.0,0.5,974.8672834095433,970.6819156716597,0.0037909627973458956,3
50,2.0,1,20602.37796400799,20602.66947726285,-1.1871863288281017e-05,3
50,2.0,2,9253136.731072506,9358035.818556236,-0.007098326686715476,3
50,2.0,4,981044712964.5931,1015385335691.3837,-0.018390542784448845,3
50,4.0,0.5,1358.6306156087774,1356.976305474581,0.0011146363684232327,3
50,4.0,1,41163.15722088402,41163.68173811948,-1.2960725147261895e-05,3
50,4.0,2,37254772.92324055,37429296.37758337,0.0007629372008602949,3
50,4.0,4,15430294581097.086,15412575313324.748,0.013744876539328774,3
100,0.0,0.5,47.25367737718295,46.53402735365736,0.01716509122997715,3
100,0.0,1,47.25367737718295,46.53402735365736,0.01716509122997715,3
100,0.0,2,47.25367737718295,46.53402735365736,0.01716509122997715,3
100,0.0,4,47.25367737718295,46.53402735365736,0.01716509122997715,3
100,1.0,0.5,1413.4811587394868,1412.879463473412,0.0006005804496889139,3
100,1.0,1,20821.87025643168,20822.959067520464,-4.853117440329715e-05,3
100,1.0,2,2409168.9018769045,2405213.18466307,0.002053416075149854,3
100,1.0,4,7588727203.860639,7557236237.374443,0.005466313496574236,3
100,2.0,0.5,1964.4776398199026,1948.6585728577827,0.008733293000583951,3
100,2.0,1,41517.34888352792,41517.67679377614,-6.80595718118519e-06,3
100,2.0,2,9635322.256644854,9624894.70994567,0.0013411091121938686,3
100,2.0,4,121419630248.4128,120915774789.5744,0.005466313749160653,3
100,4.0,0.5,2735.6713246552463,2729.5424411719514,0.002546844973207984,3
100,4.0,1,82907.09969884246,82907.67164972982,-7.101249225398234e-06,3
100,4.0,2,38540679.09066854,38475880.48522461,0.0021081407381347574,3
100,4.0,4,1942714078961.2444,1934652391624.7712,0.005466313764947096,3
