beta,avg_baseline_cost,avg_ils_cost,avg_improvement_pct,num_instances
0.5,820.4580806765641,818.4442620839732,-0.007949378893070036,36
1,19837.580109429768,19837.872410870583,-0.008309070196767871,36
2,10198109.5703084,10214818.077309005,-0.005002114110246824,36
4,6024562879408.992,7359084208601.746,-0.006773617002354611,36
