n_cities,avg_baseline_cost,avg_ils_cost,avg_improvement_pct,num_instances
10,3359596566883.7383,4359721070553.2793,-0.016463883550539193,48
50,1029347433427.9171,1030651258743.4742,-0.010960517344961564,48
100,129485823320.79564,128948503760.35146,0.006398765743671253,48
